Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	Negative_Control_1 Spectral Count	PYROXD1_D500N_1 Spectral Count	PYROXD1_N155S_1 Spectral Count	PYROXD1_Q372H_1 Spectral Count	PYROXD1_R132C_1 Spectral Count	PYROXD1_WT_1 Spectral Count	PYROXD1_Y354C_1 Spectral Count	PYROXD1_dE496_1 Spectral Count	Negative_Control_1 Unique Spectral Count	PYROXD1_D500N_1 Unique Spectral Count	PYROXD1_N155S_1 Unique Spectral Count	PYROXD1_Q372H_1 Unique Spectral Count	PYROXD1_R132C_1 Unique Spectral Count	PYROXD1_WT_1 Unique Spectral Count	PYROXD1_Y354C_1 Unique Spectral Count	PYROXD1_dE496_1 Unique Spectral Count	Negative_Control_1 Total Spectral Count	PYROXD1_D500N_1 Total Spectral Count	PYROXD1_N155S_1 Total Spectral Count	PYROXD1_Q372H_1 Total Spectral Count	PYROXD1_R132C_1 Total Spectral Count	PYROXD1_WT_1 Total Spectral Count	PYROXD1_Y354C_1 Total Spectral Count	PYROXD1_dE496_1 Total Spectral Count	Negative_Control_1 Intensity	PYROXD1_D500N_1 Intensity	PYROXD1_N155S_1 Intensity	PYROXD1_Q372H_1 Intensity	PYROXD1_R132C_1 Intensity	PYROXD1_WT_1 Intensity	PYROXD1_Y354C_1 Intensity	PYROXD1_dE496_1 Intensity	Negative_Control_1 MaxLFQ Intensity	PYROXD1_D500N_1 MaxLFQ Intensity	PYROXD1_N155S_1 MaxLFQ Intensity	PYROXD1_Q372H_1 MaxLFQ Intensity	PYROXD1_R132C_1 MaxLFQ Intensity	PYROXD1_WT_1 MaxLFQ Intensity	PYROXD1_Y354C_1 MaxLFQ Intensity	PYROXD1_dE496_1 MaxLFQ Intensity	Indistinguishable Proteins
sp|A0MZ66|SHOT1_HUMAN	A0MZ66	SHOT1_HUMAN	SHTN1	631	Homo sapiens	1:Experimental evidence at protein level	Shootin-1	1.0	0.999	4	8	8	8	5	0	0	0	0	1	1	1	5	0	0	0	0	1	1	1	5	0	0	0	0	1	1	1	69919.99	9693.712	19316.238	25685.736	0.0	37920.73	56762.664	55453.855	24428.977	0.0	10570.683	13964.031	0.0	20864.082	24204.936	24780.684	
sp|A1L0T0|HACL2_HUMAN	A1L0T0	HACL2_HUMAN	HACL2	632	Homo sapiens	1:Experimental evidence at protein level	2-hydroxyacyl-CoA lyase 2	1.0	0.999	7	26	26	26	3	0	2	2	0	6	5	8	3	0	2	2	0	6	5	8	3	0	2	2	0	6	5	8	35695.51	0.0	22311.479	58334.65	0.0	137559.31	97934.6	154607.86	20294.48	0.0	11615.874	20961.47	0.0	35816.105	34716.984	38928.188	
sp|A2A3N6|PIPSL_HUMAN	A2A3N6	PIPSL_HUMAN	PIPSL	862	Homo sapiens	5:Protein uncertain	Putative PIP5K1A and PSMD4-like protein	0.9924	0.999	5	1	0	25	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	1	1	2	2	5	5	5	13437.632	0.0	0.0	0.0	0.0	19103.74	9540.79	18144.953	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A2RTX5|SYTC2_HUMAN	A2RTX5	SYTC2_HUMAN	TARS3	802	Homo sapiens	1:Experimental evidence at protein level	Threonine--tRNA ligase 2, cytoplasmic	0.9924	0.999	5	1	1	19	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	1	3	0	2	6	5	17079.48	0.0	0.0	7868.0146	0.0	17370.62	10530.002	14329.394	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A3KMH1|VWA8_HUMAN	A3KMH1	VWA8_HUMAN	VWA8	1905	Homo sapiens	1:Experimental evidence at protein level	von Willebrand factor A domain-containing protein 8	0.9607	0.999	1	4	4	4	1	0	0	0	0	1	2	0	1	0	0	0	0	1	2	0	1	0	0	0	0	1	2	0	79600.4	43918.824	54242.06	56732.504	90677.7	116388.47	48253.68	104969.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A4D1E9|GTPBA_HUMAN	A4D1E9	GTPBA_HUMAN	GTPBP10	387	Homo sapiens	1:Experimental evidence at protein level	GTP-binding protein 10	1.0	0.999	4	8	8	8	0	0	0	1	0	3	0	4	0	0	0	1	0	3	0	4	0	0	0	1	0	3	0	4	54413.43	0.0	0.0	20037.246	4754.715	47995.914	14313.279	53027.94	15626.38	0.0	0.0	7978.3496	0.0	18635.363	9140.878	16923.344	
sp|A4FU69|EFCB5_HUMAN	A4FU69	EFCB5_HUMAN	EFCAB5	1503	Homo sapiens	1:Experimental evidence at protein level	EF-hand calcium-binding domain-containing protein 5	0.9979	0.9987	2	3	3	3	0	1	0	1	0	0	0	1	0	1	0	1	0	0	0	1	0	1	0	1	0	0	0	1	0.0	26085.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A5YKK6|CNOT1_HUMAN	A5YKK6	CNOT1_HUMAN	CNOT1	2376	Homo sapiens	1:Experimental evidence at protein level	CCR4-NOT transcription complex subunit 1	1.0	0.999	41	186	186	186	45	5	3	10	8	52	20	43	45	5	3	10	8	52	20	43	45	5	3	10	8	52	20	43	1241960.0	271875.7	152725.27	615399.44	480717.47	1242334.2	797640.75	1308072.0	68247.28	24746.066	20849.77	41269.004	37650.867	73393.17	44553.363	75180.414	
sp|A6NCE7|MP3B2_HUMAN	A6NCE7	MP3B2_HUMAN	MAP1LC3B2	125	Homo sapiens	1:Experimental evidence at protein level	Microtubule-associated protein 1 light chain 3 beta 2	0.9999	0.999	2	10	0	10	1	0	1	1	0	3	2	2	0	0	0	0	0	0	0	0	1	0	1	1	0	3	2	2	53226.926	0.0	26228.656	28843.434	10691.411	65590.61	47024.234	64595.68	29673.648	0.0	15290.551	16826.021	0.0	38123.02	27317.805	38076.47	sp|Q9GZQ8|MLP3B_HUMAN
sp|A6NDG6|PGP_HUMAN	A6NDG6	PGP_HUMAN	PGP	321	Homo sapiens	1:Experimental evidence at protein level	Glycerol-3-phosphate phosphatase	1.0	0.999	4	9	9	9	1	0	0	0	0	2	4	2	1	0	0	0	0	2	4	2	1	0	0	0	0	2	4	2	33118.074	8578.715	13653.572	23561.016	0.0	47275.184	85503.93	55367.367	15915.858	0.0	0.0	16598.338	0.0	19459.877	27564.803	28705.746	
sp|A6NHL2|TBAL3_HUMAN	A6NHL2	TBAL3_HUMAN	TUBAL3	446	Homo sapiens	1:Experimental evidence at protein level	Tubulin alpha chain-like 3	0.9924	0.999	5	6	6	88	1	0	1	1	0	1	1	1	1	0	1	1	0	1	1	1	9	10	14	11	5	10	14	15	45595.02	16912.104	43994.72	42939.645	14931.995	53658.625	46890.93	89945.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A6NHR9|SMHD1_HUMAN	A6NHR9	SMHD1_HUMAN	SMCHD1	2005	Homo sapiens	1:Experimental evidence at protein level	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	1.0	0.999	3	3	3	3	1	0	0	0	0	2	0	0	1	0	0	0	0	2	0	0	1	0	0	0	0	2	0	0	13817.531	0.0	0.0	0.0	0.0	41087.06	0.0	25047.098	7266.9106	0.0	0.0	0.0	0.0	15965.356	0.0	16535.992	
sp|A6NIH7|U119B_HUMAN	A6NIH7	U119B_HUMAN	UNC119B	251	Homo sapiens	1:Experimental evidence at protein level	Protein unc-119 homolog B	0.8104	0.9943	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	9069.139	0.0	0.0	6184.786	3454.4434	11385.113	16309.846	14937.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A6NKD9|CC85C_HUMAN	A6NKD9	CC85C_HUMAN	CCDC85C	419	Homo sapiens	1:Experimental evidence at protein level	Coiled-coil domain-containing protein 85C	0.9607	0.999	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0.0	10169.067	3377.3757	9740.972	0.0	0.0	10003.996	12912.319	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A8K2U0|A2ML1_HUMAN	A8K2U0	A2ML1_HUMAN	A2ML1	1454	Homo sapiens	1:Experimental evidence at protein level	Alpha-2-macroglobulin-like protein 1	1.0	0.999	23	45	45	45	0	0	3	1	39	0	2	0	0	0	3	1	39	0	2	0	0	0	3	1	39	0	2	0	26130.736	71101.24	196619.2	215158.81	1230968.1	6309.5557	179333.16	123891.95	18126.264	18756.342	29853.426	32478.24	110110.75	0.0	32727.836	18618.496	
sp|A8MWD9|RUXGL_HUMAN	A8MWD9	RUXGL_HUMAN	SNRPGP15	76	Homo sapiens	5:Protein uncertain	Putative small nuclear ribonucleoprotein G-like protein 15	1.0	0.999	5	39	1	39	5	3	5	4	6	5	3	8	0	0	0	0	1	0	0	0	5	3	5	4	6	5	3	8	281966.3	143266.03	114807.81	159394.72	309912.38	399102.22	156100.78	329813.72	96940.58	49776.508	36053.445	56723.97	81809.66	140552.62	55373.15	113109.336	
sp|A8MXV4|NUD19_HUMAN	A8MXV4	NUD19_HUMAN	NUDT19	375	Homo sapiens	1:Experimental evidence at protein level	Acyl-coenzyme A diphosphatase NUDT19	1.0	0.999	5	15	15	15	1	0	0	3	0	2	5	4	1	0	0	3	0	2	5	4	1	0	0	3	0	2	5	4	58181.367	0.0	10271.929	69981.49	0.0	36788.758	130362.07	101529.97	19472.373	0.0	0.0	23524.916	0.0	23551.672	37649.906	37218.934	
sp|B4DH59|NBPFP_HUMAN	B4DH59	NBPFP_HUMAN	NBPF26	1673	Homo sapiens	1:Experimental evidence at protein level	NBPF family member NBPF26	0.9702	0.9967	2	2	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0.0	0.0	0.0	6007.1855	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|Q3BBV2|NBPF8_HUMAN, sp|Q5TAG4|NBPFC_HUMAN, sp|Q5TI25|NBPFE_HUMAN, sp|Q6P3W6|NBPFA_HUMAN
sp|B7ZAQ6|GPHRA_HUMAN	B7ZAQ6	GPHRA_HUMAN	GPR89A	455	Homo sapiens	1:Experimental evidence at protein level	Golgi pH regulator A	0.9601	0.999	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0	0.0	10356.325	16612.877	0.0	0.0	14603.58	18363.797	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|P0CG08|GPHRB_HUMAN
sp|B9A064|IGLL5_HUMAN	B9A064	IGLL5_HUMAN	IGLL5	214	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda-like polypeptide 5	0.9999	0.999	4	5	3	28	0	2	1	1	0	0	0	1	0	2	0	0	0	0	0	1	2	6	5	5	3	2	2	3	16678.594	36592.984	11608.18	47233.895	11542.281	29092.459	10560.924	60188.027	10407.974	21425.646	0.0	29065.967	7189.397	16014.894	0.0	0.0	
sp|E9PAV3|NACAM_HUMAN	E9PAV3	NACAM_HUMAN	NACA	2078	Homo sapiens	1:Experimental evidence at protein level	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	1.0	0.999	7	88	71	88	14	8	10	10	5	13	14	14	12	7	8	8	4	11	11	10	14	8	10	10	5	13	14	14	1003398.8	540504.8	765349.6	941612.56	486423.56	1145692.9	1285028.5	1382747.5	310630.03	122327.234	237785.4	275020.56	98872.21	370823.28	383626.66	470249.12	
sp|E9PRG8|CK098_HUMAN	E9PRG8	CK098_HUMAN	C11orf98	123	Homo sapiens	1:Experimental evidence at protein level	Uncharacterized protein C11orf98	1.0	0.999	3	14	14	14	5	1	0	2	2	2	0	2	5	1	0	2	2	2	0	2	5	1	0	2	2	2	0	2	110482.305	41630.855	48432.5	53386.273	55554.574	87533.17	59080.03	52170.54	52105.07	24379.918	24740.715	26856.46	25128.836	43455.387	27345.15	41586.96	
sp|O00116|ADAS_HUMAN	O00116	ADAS_HUMAN	AGPS	658	Homo sapiens	1:Experimental evidence at protein level	Alkyldihydroxyacetonephosphate synthase, peroxisomal	1.0	0.999	7	30	30	30	8	0	2	2	0	3	6	9	8	0	2	2	0	3	6	9	8	0	2	2	0	3	6	9	110024.484	4758.1426	40565.355	72829.61	0.0	118138.06	123101.4	133097.45	25204.338	0.0	14570.203	17278.469	0.0	27514.787	28522.387	30413.53	
sp|O00139|KIF2A_HUMAN	O00139	KIF2A_HUMAN	KIF2A	706	Homo sapiens	1:Experimental evidence at protein level	Kinesin-like protein KIF2A	1.0	0.999	10	32	28	32	5	0	1	3	0	12	4	7	3	0	1	3	0	11	4	6	5	0	1	3	0	12	4	7	195032.66	45695.887	122861.16	170173.31	17026.049	268518.4	168621.67	244777.52	31931.285	14030.324	22880.213	25731.398	10563.91	40870.883	26446.334	40154.92	
sp|O00148|DX39A_HUMAN	O00148	DX39A_HUMAN	DDX39A	427	Homo sapiens	1:Experimental evidence at protein level	ATP-dependent RNA helicase DDX39A	1.0	0.999	13	18	18	141	3	1	1	2	0	4	3	4	3	1	1	2	0	4	3	4	21	14	15	18	7	25	20	21	87316.59	38102.56	51622.156	85710.484	15871.545	119506.875	117560.56	96542.05	32334.652	14241.371	20175.38	32362.742	9673.443	44999.49	43890.1	37915.75	
sp|O00151|PDLI1_HUMAN	O00151	PDLI1_HUMAN	PDLIM1	329	Homo sapiens	1:Experimental evidence at protein level	PDZ and LIM domain protein 1	1.0	0.999	7	29	29	29	6	0	2	2	0	2	7	10	6	0	2	2	0	2	7	10	6	0	2	2	0	2	7	10	147399.77	8358.3545	56740.21	89819.445	7188.6006	163074.3	168939.14	213219.69	31852.484	5569.515	13633.999	21445.602	0.0	38511.484	34327.582	47847.582	
sp|O00154|BACH_HUMAN	O00154	BACH_HUMAN	ACOT7	380	Homo sapiens	1:Experimental evidence at protein level	Cytosolic acyl coenzyme A thioester hydrolase	1.0	0.999	11	65	65	65	14	3	3	12	0	10	10	13	14	3	3	12	0	10	10	13	14	3	3	12	0	10	10	13	414209.6	89894.38	164683.69	314705.53	49286.297	441390.66	481927.22	684424.44	54306.848	22620.488	42469.668	60671.805	11168.731	81235.83	86858.68	124171.23	
sp|O00159|MYO1C_HUMAN	O00159	MYO1C_HUMAN	MYO1C	1063	Homo sapiens	1:Experimental evidence at protein level	Unconventional myosin-Ic	1.0	0.999	31	126	122	126	30	10	0	29	2	25	28	2	29	10	0	29	2	24	26	2	30	10	0	29	2	25	28	2	1099573.6	365458.3	162293.19	751236.6	332571.56	820318.94	765078.0	475882.75	85521.8	36451.082	21191.426	62893.336	33414.76	66291.13	63256.72	40765.45	
sp|O00165|HAX1_HUMAN	O00165	HAX1_HUMAN	HAX1	279	Homo sapiens	1:Experimental evidence at protein level	HCLS1-associated protein X-1	0.9999	0.999	2	11	11	11	4	0	0	0	0	2	3	2	4	0	0	0	0	2	3	2	4	0	0	0	0	2	3	2	32442.752	10027.251	16434.773	33416.27	14697.17	42996.17	41442.543	38575.727	22723.615	0.0	0.0	22212.818	0.0	30068.771	30993.908	26615.16	
sp|O00170|AIP_HUMAN	O00170	AIP_HUMAN	AIP	330	Homo sapiens	1:Experimental evidence at protein level	AH receptor-interacting protein	1.0	0.999	11	27	27	27	5	0	0	4	0	5	4	9	5	0	0	4	0	5	4	9	5	0	0	4	0	5	4	9	140682.19	10467.422	40386.676	102491.77	17931.018	237875.4	130172.8	274760.94	32345.4	0.0	13712.808	19929.385	7493.8164	44541.76	29180.805	53700.402	
sp|O00178|GTPB1_HUMAN	O00178	GTPB1_HUMAN	GTPBP1	669	Homo sapiens	1:Experimental evidence at protein level	GTP-binding protein 1	1.0	0.999	6	11	11	11	2	0	0	1	0	3	2	3	2	0	0	1	0	3	2	3	2	0	0	1	0	3	2	3	75753.27	0.0	4753.005	32300.916	0.0	69481.49	87257.66	77396.445	25754.96	0.0	0.0	16265.812	0.0	24817.084	22889.145	22731.055	
sp|O00186|STXB3_HUMAN	O00186	STXB3_HUMAN	STXBP3	592	Homo sapiens	1:Experimental evidence at protein level	Syntaxin-binding protein 3	0.9607	0.999	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	9557.618	0.0	0.0	7936.1333	0.0	9670.87	12143.676	10193.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O00193|SMAP_HUMAN	O00193	SMAP_HUMAN	SMAP	183	Homo sapiens	1:Experimental evidence at protein level	Small acidic protein	1.0	0.999	3	29	29	29	4	2	3	4	0	6	4	6	4	2	3	4	0	6	4	6	4	2	3	4	0	6	4	6	132060.4	46152.504	79564.234	84790.734	0.0	223139.22	152574.7	224206.2	88196.26	36523.375	70714.42	59277.945	0.0	136929.0	109881.12	134021.55	
sp|O00203|AP3B1_HUMAN	O00203	AP3B1_HUMAN	AP3B1	1094	Homo sapiens	1:Experimental evidence at protein level	AP-3 complex subunit beta-1	1.0	0.999	21	70	61	70	14	0	5	4	1	12	14	20	11	0	5	3	0	11	12	19	14	0	5	4	1	12	14	20	426041.38	74281.234	239958.47	282034.88	45684.824	456850.2	496896.2	629546.5	59580.113	19979.21	35717.816	40545.637	24260.92	62551.45	56754.14	78686.375	
sp|O00217|NDUS8_HUMAN	O00217	NDUS8_HUMAN	NDUFS8	210	Homo sapiens	1:Experimental evidence at protein level	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial	1.0	0.999	4	5	5	5	1	0	0	0	0	1	0	3	1	0	0	0	0	1	0	3	1	0	0	0	0	1	0	3	37087.367	0.0	10748.255	0.0	11601.695	54598.008	17766.504	77766.484	13680.4375	0.0	0.0	0.0	0.0	19064.057	11185.312	29281.666	
sp|O00231|PSD11_HUMAN	O00231	PSD11_HUMAN	PSMD11	422	Homo sapiens	1:Experimental evidence at protein level	26S proteasome non-ATPase regulatory subunit 11	1.0	0.999	29	302	302	302	54	22	16	28	31	51	49	51	54	22	16	28	31	51	49	51	54	22	16	28	31	51	49	51	3566754.5	742178.5	564782.9	1494360.1	1175926.0	2991982.5	1850268.9	3009190.5	315163.53	73370.9	58184.047	130839.875	113771.72	269213.16	167985.58	258740.16	
sp|O00232|PSD12_HUMAN	O00232	PSD12_HUMAN	PSMD12	456	Homo sapiens	1:Experimental evidence at protein level	26S proteasome non-ATPase regulatory subunit 12	1.0	0.999	24	235	235	235	49	19	9	27	25	40	30	36	49	19	9	27	25	40	30	36	49	19	9	27	25	40	30	36	2415711.2	587829.5	359247.06	1054397.2	838198.0	2042349.6	1225278.6	1928975.0	204048.81	49850.51	38362.203	89815.92	74496.54	172040.48	107463.2	172331.28	
sp|O00233|PSMD9_HUMAN	O00233	PSMD9_HUMAN	PSMD9	223	Homo sapiens	1:Experimental evidence at protein level	26S proteasome non-ATPase regulatory subunit 9	1.0	0.999	4	15	15	15	1	0	0	0	0	4	6	4	1	0	0	0	0	4	6	4	1	0	0	0	0	4	6	4	72079.78	12050.951	9571.036	60016.867	9219.639	102898.125	135455.64	159022.83	39138.13	0.0	0.0	37254.95	0.0	50962.805	47947.23	52559.7	
sp|O00264|PGRC1_HUMAN	O00264	PGRC1_HUMAN	PGRMC1	195	Homo sapiens	1:Experimental evidence at protein level	Membrane-associated progesterone receptor component 1	1.0	0.999	8	60	54	60	7	1	6	13	0	11	12	10	6	1	6	12	0	10	11	8	7	1	6	13	0	11	12	10	510832.1	94924.33	257380.23	361961.72	72424.95	548091.1	656006.8	682229.06	125349.125	30796.97	67754.266	88224.84	21831.645	131884.36	154407.47	162593.7	
sp|O00267|SPT5H_HUMAN	O00267	SPT5H_HUMAN	SUPT5H	1087	Homo sapiens	1:Experimental evidence at protein level	Transcription elongation factor SPT5	1.0	0.999	23	78	78	78	8	2	6	3	3	23	10	23	8	2	6	3	3	23	10	23	8	2	6	3	3	23	10	23	375362.03	114606.445	228030.89	268878.9	98080.8	585504.3	354327.06	690739.25	53684.75	29610.312	54390.75	45062.47	28632.975	88531.87	60941.703	94159.086	
sp|O00268|TAF4_HUMAN	O00268	TAF4_HUMAN	TAF4	1085	Homo sapiens	1:Experimental evidence at protein level	Transcription initiation factor TFIID subunit 4	1.0	0.999	20	111	103	111	25	16	2	22	16	7	16	7	23	15	2	21	14	6	15	7	25	16	2	22	16	7	16	7	780244.75	534192.44	119172.08	688579.4	494471.25	420997.0	560707.0	332392.88	78548.55	52170.57	20153.941	74967.42	58396.906	47103.547	63975.785	43539.84	
